Time,Num_ppl,Avg_num_ppl
11:00,124,11.27272727
11:01,124,11.27272727
11:02,124,11.27272727
11:03,124,11.27272727
11:04,124,11.27272727
11:05,129,11.72727273
11:06,130,11.81818182
11:07,131,11.90909091
11:08,133,12.09090909
11:09,135,12.27272727
11:10,137,12.45454545
11:11,137,12.45454545
11:12,137,12.45454545
11:13,141,12.81818182
11:14,140,12.72727273
11:15,147,13.36363636
11:16,147,13.36363636
11:17,148,13.45454545
11:18,147,13.36363636
11:19,145,13.18181818
11:20,148,13.45454545
11:21,146,13.27272727
11:22,148,13.45454545
11:23,147,13.36363636
11:24,146,13.27272727
11:25,147,13.36363636
11:26,147,13.36363636
11:27,147,13.36363636
11:28,147,13.36363636
11:29,146,13.27272727
11:30,151,13.72727273
11:31,150,13.63636364
11:32,148,13.45454545
11:33,146,13.27272727
11:34,144,13.09090909
11:35,141,12.81818182
11:36,141,12.81818182
11:37,140,12.72727273
11:38,137,12.45454545
11:39,136,12.36363636
11:40,138,12.54545455
11:41,135,12.27272727
11:42,133,12.09090909
11:43,133,12.09090909
11:44,131,11.90909091
11:45,132,12
11:46,130,11.81818182
11:47,129,11.72727273
11:48,125,11.36363636
11:49,124,11.27272727
11:50,126,11.45454545
11:51,126,11.45454545
11:52,125,11.36363636
11:53,124,11.27272727
11:54,122,11.09090909
11:55,124,11.27272727
11:56,126,11.45454545
11:57,125,11.36363636
11:58,123,11.18181818
11:59,120,10.90909091
12:00,121,11
12:01,120,10.90909091
12:02,120,10.90909091
12:03,118,10.72727273
12:04,118,10.72727273
12:05,116,10.54545455
12:06,114,10.36363636
12:07,114,10.36363636
12:08,114,10.36363636
12:09,113,10.27272727
12:10,112,10.18181818
12:11,111,10.09090909
12:12,111,10.09090909
12:13,111,10.09090909
12:14,111,10.09090909
12:15,110,10
12:16,108,9.818181818
12:17,107,9.727272727
12:18,110,10
12:19,109,9.909090909
12:20,109,9.909090909
12:21,106,9.636363636
12:22,108,9.818181818
12:23,107,9.727272727
12:24,103,9.363636364
12:25,101,9.181818182
12:26,100,9.090909091
12:27,99,9
12:28,96,8.727272727
12:29,95,8.636363636
12:30,101,9.181818182
12:31,101,9.181818182
12:32,99,9
12:33,98,8.909090909
12:34,98,8.909090909
12:35,94,8.545454545
12:36,89,8.090909091
12:37,88,8
12:38,87,7.909090909
12:39,85,7.727272727
12:40,86,7.818181818
12:41,86,7.818181818
12:42,83,7.545454545
12:43,82,7.454545455
12:44,81,7.363636364
12:45,82,7.454545455
12:46,79,7.181818182
12:47,78,7.090909091
12:48,76,6.909090909
12:49,79,7.181818182
12:50,79,7.181818182
12:51,80,7.272727273
12:52,81,7.363636364
12:53,81,7.363636364
12:54,83,7.545454545
12:55,82,7.454545455
12:56,81,7.363636364
12:57,81,7.363636364
12:58,77,7
12:59,76,6.909090909
13:00,81,7.363636364
13:01,79,7.181818182
13:02,78,7.090909091
13:03,77,7
13:04,76,6.909090909
13:05,79,7.181818182
13:06,78,7.090909091
13:07,78,7.090909091
13:08,76,6.909090909
13:09,77,7
13:10,77,7
13:11,76,6.909090909
13:12,79,7.181818182
13:13,79,7.181818182
13:14,75,6.818181818
13:15,80,7.272727273
13:16,81,7.363636364
13:17,79,7.181818182
13:18,81,7.363636364
13:19,82,7.454545455
13:20,84,7.636363636
13:21,84,7.636363636
13:22,83,7.545454545
13:23,81,7.363636364
13:24,82,7.454545455
13:25,82,7.454545455
13:26,83,7.545454545
13:27,83,7.545454545
13:28,84,7.636363636
13:29,84,7.636363636
13:30,85,7.727272727
13:31,83,7.545454545
13:32,82,7.454545455
13:33,78,7.090909091
13:34,76,6.909090909
13:35,78,7.090909091
13:36,78,7.090909091
13:37,79,7.181818182
13:38,78,7.090909091
13:39,80,7.272727273
13:40,82,7.454545455
13:41,81,7.363636364
13:42,82,7.454545455
13:43,81,7.363636364
13:44,79,7.181818182
13:45,80,7.272727273
13:46,78,7.090909091
13:47,75,6.818181818
13:48,74,6.727272727
13:49,74,6.727272727
13:50,74,6.727272727
13:51,74,6.727272727
13:52,70,6.363636364
13:53,69,6.272727273
13:54,69,6.272727273
13:55,69,6.272727273
13:56,66,6
13:57,65,5.909090909
13:58,62,5.636363636
13:59,60,5.454545455
14:00,58,5.272727273
