"","time.range","avg.arrival_intake","avg.intake_checkout","avg.total.time"
"1","< -60",127.31914893617,27.5744680851064,155.68085106383
"2","> 90",11.6165803108808,38.7979274611399,49.0880829015544
"3",">= -60 and < 0",44.6171428571429,40.24,85.7257142857143
"4",">= 0 and <= 90",17.9915611814346,46.7341772151899,65.0042194092827
